date and time,min dBmV,max dBmV,avg dBmV,"Pre RS Errors (cuml, all channels)","Post RS Errors (cuml, all channels)"
2021-08-05T13:14+01:00,15.0,18.5,17.03,1595820795,3768731
2021-08-05T13:18+01:00,15.0,18.5,17.03,1596420373,3768731
2021-08-05T14:00+01:00,15.0,18.6,17.13,1603857706,3768731
2021-08-05T15:00+01:00,15.3,18.6,17.23,1616279937,3768731
2021-08-05T16:00+01:00,15.1,18.6,17.19,1630242492,3768731
2021-08-05T17:00+01:00,15.3,18.6,17.23,1644347852,3768731
2021-08-05T18:00+01:00,15.3,18.8,17.27,1657888029,3768731
2021-08-05T19:00+01:00,15.3,18.6,17.20,1671280978,3768731
2021-08-05T20:00+01:00,15.3,18.8,17.26,1684739923,3768731
2021-08-05T21:00+01:00,15.3,18.8,17.28,1699838941,3768731
2021-08-05T22:00+01:00,15.4,18.8,17.30,1716288178,3768731
2021-08-05T23:00+01:00,15.3,18.8,17.28,1732454277,3768731
2021-08-06T00:00+01:00,15.3,18.8,17.28,1747539192,3768731
2021-08-06T01:00+01:00,15.4,18.9,17.36,1763627696,3768731
2021-08-06T02:00+01:00,15.4,18.9,17.36,1780589060,3768731
2021-08-06T03:00+01:00,15.5,18.9,17.40,1799369383,3768731
2021-08-06T04:00+01:00,15.5,18.9,17.43,1819776926,3768731
2021-08-06T05:00+01:00,15.5,18.9,17.46,1840461802,3768731
2021-08-06T06:00+01:00,15.5,18.9,17.43,1861541346,3768731
2021-08-06T07:00+01:00,15.5,18.9,17.44,1882008236,3768731
2021-08-06T08:00+01:00,15.5,18.9,17.42,1902150204,3768731
2021-08-06T09:00+01:00,15.4,18.9,17.38,1920737287,3768731
2021-08-06T10:00+01:00,15.3,18.8,17.28,1936834399,3768731
2021-08-06T11:00+01:00,15.1,18.6,17.17,1949969836,3768731
2021-08-06T12:00+01:00,15.1,18.6,17.18,1961465841,3768731
2021-08-06T13:00+01:00,15.0,18.5,17.07,1973189536,3768731
2021-08-06T14:00+01:00,14.9,18.5,16.97,1982234949,3768731
2021-08-06T15:00+01:00,14.6,18.3,16.79,1989890060,3768731
2021-08-06T16:00+01:00,14.8,18.4,16.84,1996802213,3768731
2021-08-06T17:00+01:00,14.6,18.3,16.78,2004200579,3768731
2021-08-06T18:00+01:00,14.6,18.4,16.88,2011554755,3768731
2021-08-06T19:00+01:00,14.9,18.5,17.01,2020654824,3768731
2021-08-06T20:00+01:00,14.9,18.5,17.00,2029854178,3768731
2021-08-06T21:00+01:00,15.1,18.6,17.10,2039324432,3768731
2021-08-06T22:00+01:00,15.3,18.6,17.25,2051457319,3768731
2021-08-06T23:00+01:00,15.4,18.8,17.32,2066576059,3768731
2021-08-07T00:00+01:00,15.5,18.8,17.38,2084434039,3768731
2021-08-07T01:00+01:00,15.5,18.9,17.44,2105652997,3768731
2021-08-07T02:00+01:00,15.5,19.0,17.52,2130194647,3768731
2021-08-07T03:00+01:00,15.5,19.0,17.56,2157202312,3768731
2021-08-07T04:00+01:00,15.5,19.0,17.59,2186551004,3768731
2021-08-07T05:00+01:00,15.6,19.0,17.64,2217617279,3768731
2021-08-07T06:00+01:00,15.6,19.0,17.62,2251345786,3768731
2021-08-07T07:00+01:00,15.6,19.0,17.63,2285584835,3768731
2021-08-07T08:00+01:00,15.6,19.0,17.60,2315581115,3768731
2021-08-07T09:00+01:00,15.5,19.0,17.49,2340860171,3768731
2021-08-07T10:00+01:00,15.3,18.9,17.30,2360160300,3768731
2021-08-07T11:00+01:00,15.3,18.8,17.23,2373946904,3768731
2021-08-07T12:00+01:00,15.0,18.6,17.14,2385982899,3768731
2021-08-07T13:00+01:00,15.0,18.5,16.98,2394441532,3768731
2021-08-07T14:00+01:00,14.8,18.5,16.90,2402216878,3768731
2021-08-07T15:00+01:00,14.0,18.5,16.94,2409909279,3768731
2021-08-07T16:00+01:00,14.8,18.5,16.98,2418561622,3768731
2021-08-07T17:00+01:00,14.1,18.5,16.95,2427229193,3768731
2021-08-07T18:00+01:00,14.3,18.5,16.93,2435356968,3768731
2021-08-07T19:00+01:00,15.0,18.5,17.00,2444023556,3768731
2021-08-07T20:00+01:00,15.0,18.6,17.08,2454032210,3768731
2021-08-07T21:00+01:00,15.3,18.6,17.19,2466255156,3768731
2021-08-07T22:00+01:00,15.3,18.8,17.25,2479448579,3768731
2021-08-07T23:00+01:00,15.4,18.8,17.33,2495102463,3768731
2021-08-08T00:00+01:00,15.4,18.8,17.35,2511935940,3768731
2021-08-08T01:00+01:00,15.5,18.9,17.38,2529510489,3768731
2021-08-08T02:00+01:00,15.5,18.9,17.44,2549586386,3768731
2021-08-08T03:00+01:00,15.5,19.0,17.54,2573144229,3768731
2021-08-08T04:00+01:00,15.6,19.0,17.57,2599528635,3768731
2021-08-08T05:00+01:00,15.8,19.0,17.62,2627835776,3768731
2021-08-08T06:00+01:00,15.6,19.0,17.60,2658320322,3768731
2021-08-08T07:00+01:00,15.8,19.0,17.63,2688440661,3768731
2021-08-08T08:00+01:00,15.8,19.0,17.61,2719281237,3768731
2021-08-08T09:00+01:00,15.6,19.0,17.55,2746586979,3768731
2021-08-08T10:00+01:00,15.5,19.0,17.51,2770478900,3768731
2021-08-08T11:00+01:00,15.5,19.0,17.45,2791830905,3768731
2021-08-08T12:00+01:00,15.3,18.8,17.27,2810973635,3768731
2021-08-08T13:00+01:00,15.3,18.9,17.32,2825328512,3768731
2021-08-08T14:00+01:00,15.1,18.8,17.21,2838636075,3768731
2021-08-08T15:00+01:00,15.0,18.6,17.06,2849320359,3768731
2021-08-08T16:00+01:00,15.0,18.6,17.07,2859121329,3768731
2021-08-08T17:00+01:00,14.9,18.6,17.02,2869478352,3768731
2021-08-08T18:00+01:00,15.0,18.6,17.02,2879226530,3768731
2021-08-08T19:00+01:00,15.0,18.6,17.09,2889500569,3768731
2021-08-08T20:00+01:00,14.3,18.6,17.07,2900234751,3768731
2021-08-08T21:00+01:00,15.4,18.9,17.30,2912408572,3768731
2021-08-08T22:00+01:00,15.4,18.9,17.40,2929606819,3768731
2021-08-08T23:00+01:00,15.5,19.0,17.51,2951010137,3768731
2021-08-09T00:00+01:00,15.5,19.0,17.55,2975835558,3768731
2021-08-09T01:00+01:00,15.5,19.0,17.58,3002485041,3768731
2021-08-09T02:00+01:00,15.6,19.0,17.58,3029221981,3768731
2021-08-09T03:00+01:00,15.6,19.0,17.60,3057668027,3768731
2021-08-09T04:00+01:00,15.6,19.0,17.61,3087446223,3768731
2021-08-09T05:00+01:00,15.6,19.0,17.61,3118945945,3768731
2021-08-09T06:00+01:00,15.8,19.0,17.65,3150480542,3768731
2021-08-09T07:00+01:00,15.6,19.0,17.60,3181850613,3768731
2021-08-09T08:00+01:00,15.6,19.0,17.61,3210850240,3768731
2021-08-09T09:00+01:00,15.5,19.0,17.54,3235296082,3768731
2021-08-09T10:00+01:00,15.5,19.0,17.45,3256523412,3768731
2021-08-09T11:00+01:00,15.3,18.9,17.29,3274217961,3768731
2021-08-09T12:00+01:00,15.0,18.6,17.15,3287255173,3768731
2021-08-09T13:00+01:00,15.0,18.6,17.07,3297702909,3768731
2021-08-09T14:00+01:00,14.3,18.5,16.90,3305978310,3768731
2021-08-09T15:00+01:00,14.6,18.5,16.88,3313601711,3768731
2021-08-09T16:00+01:00,1.5,5.1,3.51,3315775882,3920041
